Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
261,1.08797e-66,0.151902,5000,0.899414,16.1094,0.899414,0,0.0488281,0.0488281
262,1.08744e-66,0.151903,5000,0.898438,16.1045,0.898438,0,0.0458984,0.0458984
263,1.07841e-66,0.151914,5000,0.881836,16.1182,0.881836,0,0.0595703,0.0595703
264,1.07735e-66,0.151915,5000,0.879883,16.123,0.879883,0,0.0478516,0.0478516
265,1.07841e-66,0.151914,5000,0.881836,16.1201,0.881836,0,0.0625,0.0625
266,1.07469e-66,0.151918,5000,0.875,16.124,0.875,0,0.046875,0.046875
267,1.08372e-66,0.151907,5000,0.891602,16.1025,0.891602,0,0.046875,0.046875
268,1.08425e-66,0.151907,5000,0.892578,16.1064,0.892578,0,0.0429688,0.0429688
269,1.07841e-66,0.151914,5000,0.881836,16.1162,0.881836,0,0.0527344,0.0527344
270,1.07735e-66,0.151915,5000,0.879883,16.1162,0.879883,0,0.0458984,0.0458984
271,1.0816e-66,0.15191,5000,0.887695,16.1025,0.887695,0,0.0537109,0.0537109
272,1.08106e-66,0.15191,5000,0.886719,16.0996,0.886719,0,0.0585938,0.0585938
273,1.09116e-66,0.151898,5000,0.905273,16.0928,0.905273,0,0.0429688,0.0429688
274,1.0816e-66,0.15191,5000,0.887695,16.1133,0.887695,0,0.0537109,0.0537109
275,1.08797e-66,0.151902,5000,0.899414,16.1084,0.899414,0,0.0439453,0.0439453
276,1.09063e-66,0.151899,5000,0.904297,16.1045,0.904297,0,0.0400391,0.0400391
277,1.08478e-66,0.151906,5000,0.926758,16.0771,0.926758,0,0.0478516,0.0478516
278,1.08319e-66,0.151908,5000,0.957031,16.0439,0.957031,0,0.0517578,0.0517578
279,1.07894e-66,0.151913,5000,0.974609,16.0293,0.974609,0,0.0546875,0.0546875
280,1.07841e-66,0.151914,5000,0.979492,16.0244,0.979492,0,0.0410156,0.0410156
281,1.0816e-66,0.15191,5000,0.987305,16.0293,0.987305,0,0.0400391,0.0400391
282,1.06991e-66,0.151924,5000,0.991211,16.0186,0.991211,0,0.0556641,0.0556641
283,1.07788e-66,0.151914,5000,0.992188,16.002,0.992188,0,0.0527344,0.0527344
284,1.0816e-66,0.15191,5000,0.941406,16.0615,0.941406,0,0.0517578,0.0517578
285,1.08372e-66,0.151907,5000,0.919922,16.0811,0.919922,0,0.0556641,0.0556641
286,1.08425e-66,0.151907,5000,0.944336,16.0576,0.944336,0,0.0419922,0.0419922
287,1.09169e-66,0.151898,5000,0.976562,16.0283,0.976562,0,0.0419922,0.0419922
288,1.09063e-66,0.151899,5000,0.988281,16.0146,0.988281,0,0.0478516,0.0478516
289,1.09009e-66,0.1519,5000,0.994141,16,0.994141,0,0.0488281,0.0488281
290,1.09063e-66,0.151899,5000,0.994141,15.9932,0.994141,0,0.0517578,0.0517578
