Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
408,1.14268e-66,0.151837,5000,1,16,1,0,0,0
409,1.14268e-66,0.151837,5000,1,16,1,0,0,0
410,1.14268e-66,0.151837,5000,1,16,1,0,0,0
411,1.14268e-66,0.151837,5000,1,16,1,0,0,0
412,1.14268e-66,0.151837,5000,1,16,1,0,0,0
413,1.14268e-66,0.151837,5000,1,16,1,0,0,0
414,1.14268e-66,0.151837,5000,1,16,1,0,0,0
415,1.14268e-66,0.151837,5000,1,16,1,0,0,0
416,1.14268e-66,0.151837,5000,1,16,1,0,0,0
417,1.14268e-66,0.151837,5000,1,16,1,0,0,0
418,1.14268e-66,0.151837,5000,1,16,1,0,0,0
419,1.14268e-66,0.151837,5000,1,16,1,0,0,0
420,1.14268e-66,0.151837,5000,1,16,1,0,0,0
421,1.14268e-66,0.151837,5000,1,16,1,0,0,0
422,1.14268e-66,0.151837,5000,1,16,1,0,0,0
423,1.14268e-66,0.151837,5000,1,16,1,0,0,0
424,1.14268e-66,0.151837,5000,1,16,1,0,0,0
425,1.14268e-66,0.151837,5000,1,16,1,0,0,0
426,1.14268e-66,0.151837,5000,1,16,1,0,0,0
427,1.14268e-66,0.151837,5000,1,16,1,0,0,0
428,1.14268e-66,0.151837,5000,1,16,1,0,0,0
429,1.14268e-66,0.151837,5000,1,16,1,0,0,0
430,1.14268e-66,0.151837,5000,1,16,1,0,0,0
431,1.14268e-66,0.151837,5000,1,16,1,0,0,0
432,1.14268e-66,0.151837,5000,1,16,1,0,0,0
433,1.14268e-66,0.151837,5000,1,16,1,0,0,0
434,1.14268e-66,0.151837,5000,1,16,1,0,0,0
435,1.14268e-66,0.151837,5000,1,16,1,0,0,0
436,1.14268e-66,0.151837,5000,1,16,1,0,0,0
437,1.14268e-66,0.151837,5000,1,16,1,0,0,0
438,1.14268e-66,0.151837,5000,1,16,1,0,0,0
439,1.14268e-66,0.151837,5000,1,16,1,0,0,0
440,1.14268e-66,0.151837,5000,1,16,1,0,0,0
441,1.14268e-66,0.151837,5000,1,16,1,0,0,0
442,1.14268e-66,0.151837,5000,1,16,1,0,0,0
443,1.14268e-66,0.151837,5000,1,16,1,0,0,0
444,1.14268e-66,0.151837,5000,1,16,1,0,0,0
445,1.14268e-66,0.151837,5000,1,16,1,0,0,0
446,1.14268e-66,0.151837,5000,1,16,1,0,0,0
447,1.14268e-66,0.151837,5000,1,16,1,0,0,0
448,1.14268e-66,0.151837,5000,1,16,1,0,0,0
449,1.14268e-66,0.151837,5000,1,16,1,0,0,0
450,1.14268e-66,0.151837,5000,1,16,1,0,0,0
